城市名称,AQI值,总人口,面积,人口密度,环境环保,人文底蕴,气候,美食,最高景点评分,公共汽车数量,出租汽车数量,平均气温
鸡西,25.0,1502060,24841.0,60.467,17.0,16.0,0.0,1.0,5.0,683,2915,1.48452401972584
鹤壁,40.0,1565973,2141.0,731.4213,14.0,21.0,2.0,6.0,5.0,700,673,13.6492582036919
鹤岗,15.0,891271,15448.0,57.6949,26.0,20.0,0.0,2.0,5.0,654,2037,0.524301650171673
鹰潭,26.810606060606062,1154223,3560.0,324.2199,16.0,6.0,1.0,3.0,5.0,264,312,15.8153572752325
黄冈,23.0,5882719,17438.0,337.3506,24.0,33.0,0.0,7.0,5.0,363,693,14.5591629212409
黄山,22.0,1330565,9673.4,137.5488,30.0,137.0,3.0,12.0,5.0,315,625,10.8887628884679
黄石,27.0,2469079,4561.0,541.346,13.0,24.0,4.0,2.0,5.0,1000,1022,14.7088593042727
黑河,26.0,1286401,74415.0,17.2869,32.0,71.0,2.0,16.0,5.0,99,967,-0.83627558208404
黔东南,26.810606060606062,3758622,30267.0,124.1822,58.0,146.0,2.0,18.0,5.0,1800,3082,14.9793508388115
黔南,26.810606060606062,3494385,26154.0,133.6081,70.0,61.0,3.0,10.0,5.0,1800,3082,15.009971483886
黔西南,26.810606060606062,3015112,16817.0,179.2895,17.0,55.0,0.0,8.0,5.0,1800,3082,15.230064704131
齐齐哈尔,24.0,4067489,42147.0,96.5072,55.0,50.0,2.0,7.0,5.0,895,2019,0.68009361683302
龙岩,19.0,2723637,19028.0,143.1384,33.0,88.0,2.0,6.0,5.0,547,380,17.9122622160931
