城市名称,AQI值,总人口,面积,人口密度,环境环保,人文底蕴,气候,美食
福州,45.0,8291268,11717.0,707.6272,58.0,148.0,0.0,26.0
秦皇岛,46.0,3136879,7853.0,399.4498,42.0,102.0,2.0,12.0
红河,,4478422,32165.0,139.2328,31.0,122.0,0.0,16.0
绍兴,37.0,5270977,8185.0,643.9801,28.0,201.0,0.0,21.0
绥化,9.0,3756167,34903.0,107.6173,13.0,18.0,0.0,0.0
绵阳,25.0,4868243,19439.0,250.4369,28.0,48.0,1.0,2.0
聊城,32.0,5952128,8643.0,688.6646,24.0,142.0,0.0,20.0
肇庆,24.0,4113594,14891.23,276.2427,36.0,84.0,1.0,13.0
自贡,23.0,2489256,4298.0,579.1661,40.0,56.0,1.0,7.0
舟山,19.0,1157817,1302.0,889.2604,34.0,70.0,5.0,21.0
芜湖,43.0,3644420,6010.6,606.3321,30.0,53.0,0.0,15.0
苏州,46.0,12748262,9102.0,1400.6001,92.0,365.0,5.0,51.0
茂名,29.0,6174050,11424.8,540.4077,32.0,46.0,1.0,8.0
荆州,18.0,5231180,14094.0,371.1636,38.0,112.0,0.0,6.0
莆田,34.0,3210714,3917.4,819.6033,10.0,53.0,0.0,6.0
莱芜,,969632,1731.0,560.1571,13.0,10.0,1.0,5.0
菏泽,17.0,8795939,12131.0,725.0795,16.0,44.0,1.0,2.0
萍乡,18.0,1804805,3820.0,472.462,24.0,34.0,0.0,5.0
营口,18.0,2328582,5502.0,423.2246,5.0,20.0,1.0,1.0
葫芦岛,19.0,2434194,10582.0,230.0316,7.0,49.0,1.0,4.0
蚌埠,,3296408,5966.9,552.449,18.0,32.0,0.0,1.0
衡水,37.0,4212933,8833.0,476.9538,5.0,47.0,0.0,3.0
衡阳,25.0,6645243,15300.0,434.3296,41.0,66.0,4.0,7.0
衢州,20.0,2276184,8846.0,257.3122,35.0,124.0,0.0,14.0
襄阳,28.0,5260951,19721.0,266.769,34.0,68.0,4.0,9.0
西双版纳,,1301407,19066.0,68.258,49.0,47.0,0.0,10.0
西安,39.0,242412,362.1,669.4615,35.0,336.0,3.0,15.0
许昌,26.0,4379998,4977.0,880.0478,23.0,116.0,1.0,7.0
贵港,24.0,4316262,10600.0,407.1945,27.0,22.0,0.0,7.0
贵阳,13.0,5987018,8051.0,743.6366,56.0,77.0,2.0,10.0
