城市名称,AQI值,总人口,面积,人口密度
台州,37.0,6622888,9663.0,685.3863
合肥,29.0,9369881,11473.0,816.6897
吉安,23.0,4469176,25283.0,176.766
吉林市,,3623713,27710.0,130.7728
吐鲁番,,693988,69750.0,9.9496
吕梁,35.0,3398431,21128.0,160.8496
吴忠,,1382713,16742.0,82.5895
周口,45.0,9026015,11965.0,754.3682
呼伦贝尔,41.0,2242875,234545.0,9.5627
呼和浩特,29.0,3446100,17143.0,201.0208
和田,,2441231,247272.0,9.8727
咸宁,32.0,2658316,9738.0,272.9838
咸阳,40.0,4983340,10324.0,482.7
哈密,,673383,137263.0,4.9058
哈尔滨,38.0,10009854,53069.0,188.6196
唐山,24.0,7717983,13994.0,551.5209
商丘,19.0,7816831,10717.0,729.3861
商洛,33.0,2041231,19562.0,104.3
喀什,,4496377,100598.0,44.6965
嘉兴,34.0,5400868,4074.0,1325.6917
嘉峪关,50.0,312663,1224.1,255.4228
四平,27.0,1814733,10240.0,177.22
固原,17.0,1142142,10525.0,108.5171
图木舒克,,263245,11708.0,22.4842
坝上,,326353,8731.0,37.38
塔城,,1108747,94531.0,11.7289
大兴安岭,,331276,84205.0,3.9342
大同,23.0,180266,2337.0,77.1356
大庆,34.0,2781562,21184.0,131.3049
大理,,3337559,28300.0,117.9349
大连,16.0,243283,15250.0,15.953
天水,19.0,2984659,14280.0,209.0097
天津,19.0,13866009,11609.91,1194.3253
天门,,1158640,2617.7,442.6176
太原,30.0,5304061,6905.0,768.1479
太湖,,430465,2039.7,211.0433
威海,12.0,2906548,5956.0,488.0034
娄底,21.0,3826996,8110.0,471.8861
孝感,17.0,4270371,8911.0,479.2247
宁德,37.0,3146789,13103.0,240.1579
宁波,29.0,9404283,9264.0,1015.1428
安庆,32.0,4165284,13486.0,308.8599
安康,20.0,2493436,23510.0,106.1
安阳,31.0,5477614,7354.0,744.8482
安顺,14.0,2470630,9246.0,267.2107
定安,,284690,1187.8,239.6784
定西,28.0,2524097,19610.0,128.7148
宜宾,26.0,4588804,12408.0,369.8262
宜昌,16.0,3762407,21229.0,177.2296
宜春,24.0,5007702,18671.0,268.2075
宝鸡,32.0,3321853,18109.0,183.4
宣城,18.0,2500063,12313.0,203.0426
宿州,46.0,5324476,9938.1,535.764
宿迁,32.0,4986192,8572.0,581.6836
屯昌,,255335,1239.6,205.9818
山南,18.0,354035,46940.0,7.5423
岳阳,17.0,5051922,14864.0,339.8763
崇左,22.0,2088692,17329.0,120.5316
巢湖,,727162,2073.0,350.7776
巴中,17.0,2712894,12136.0,223.541
巴彦淖尔,,1538715,65143.0,23.6206
巴音郭楞,,1509233,469602.0,3.2139
常州,19.0,5278121,4402.0,1199.0279
常德,17.0,5279102,18172.0,290.5075
平顶山,25.0,4987137,7910.0,630.4851
广元,13.0,2305657,16166.0,142.6238
广安,20.0,3254883,6291.0,517.3872
广州,43.0,18676605,7434.4,2512.1873
庆阳,26.0,2179716,27120.0,80.373
廊坊,26.0,5464087,6413.0,852.0329
延安,22.0,2282581,37026.0,61.65
延边,,1986339,42229.0,47.0373
开封,28.0,4824016,6250.0,771.8426
张家口,37.0,4118908,36766.0,112.0304
张家界,17.0,1517027,9540.0,159.0175
张掖,32.0,1131016,38590.0,29.3085
徐州,32.0,9083790,11211.0,810.2569
德宏,,1315709,11171.0,117.779
德州,23.0,5611194,10366.0,541.3075
德阳,19.0,3456161,5670.0,609.5522
忻州,33.0,2689668,25186.0,106.7922
怀化,16.0,4587594,27540.0,166.5793
怒江,,552694,14597.0,37.8635
恩施,,3456136,24075.0,143.5571
惠州,41.0,6042852,11342.98,532.7394
成都,25.0,20937757,12055.0,1736.8525
扬州,15.0,4559797,6626.0,688.1674
承德,40.0,3354444,39455.0,85.0195
抚州,45.0,3614866,18786.0,192.4234
抚顺,21.0,1861372,11269.0,165.1763
拉萨,8.0,867891,29680.0,29.2416
揭阳,47.0,5577814,5266.0,1059.2127
攀枝花,37.0,1212203,7193.0,168.5254
文山,,3503218,31421.0,111.4929
新乡,28.0,6251929,8296.0,753.6076
新余,38.0,1202499,3159.0,380.6581
无锡,35.0,7462135,4618.0,1615.8803
日喀则,6.0,798153,178400.0,4.474
日照,15.0,2968365,5420.0,547.6688
昆明,16.0,8460088,21017.0,402.5355
昆玉,,63487,793.5,80.0088
昌吉,,1613585,73452.0,21.9679
昌江,,232124,1593.8,145.6419
昭通,33.0,5092611,22441.0,226.9333
晋中,37.0,3379498,16391.0,206.1801
晋城,,2194545,9410.0,233.2141
普洱,19.0,2404954,44247.0,54.3529
景德镇,41.0,1618979,5258.0,307.9078
曲靖,24.0,5765775,29044.0,198.5186
朔州,49.0,1593444,10629.0,149.9148
朝阳,,1074628,286.7,3748.2665
本溪,21.0,1326018,8428.0,157.3348
来宾,23.0,2074611,13375.0,155.1111
杭州,27.0,11936010,16820.0,709.632
松原,22.0,2252994,21179.0,106.3787
林芝,10.0,238936,77680.0,3.0759
枣庄,19.0,3855601,4572.0,843.3073
柳州,28.0,4157934,18598.0,223.5689
株洲,43.0,3902738,11269.0,346.3251
桂林,21.0,4931137,27661.0,178.2704
梅州,36.0,3873239,15864.51,244.1449
梧州,34.0,2820977,12571.0,224.4035
楚雄州,,2416747,28417.0,85.05
榆林,30.0,3624750,42943.0,84.41
武功山,,1804805,3820.0,472.5
武威,22.0,1464955,32400.0,45.2147
武汉,29.0,12447718,8575.0,1451.6289
毕节,22.0,6899636,26844.0,257.0271
永州,27.0,5289824,22302.0,237.1906
